cod_mun;Município;Ano;Pop;CVPatr_tx;Efetivo
3100104;Abadia dos Dourados;2000;6446;15,51;6
3100203;Abaeté;2000;22360;44,72;31
3100302;Abre Campo;2000;13348;22,48;20
3100401;Acaiaca;2000;3889;25,71;3
3100500;Açucena;2000;11489;17,41;20
3100609;Água Boa;2000;17795;0;6
3100708;Água Comprida;2000;2092;47,8;7
3100807;Aguanil;2000;3562;56,15;7
3100906;Águas Formosas;2000;17845;5,6;25
3101003;Águas Vermelhas;2000;11878;8,42;8
3101102;Aimorés;2000;25105;15,93;51
3101201;Aiuruoca;2000;6469;30,92;18
3101300;Alagoa;2000;2800;0;4
3101409;Albertina;2000;2841;70,4;6
3101508;Além Paraíba;2000;33610;29,75;56
3101607;Alfenas;2000;66957;212,08;100
3101631;Alfredo Vasconcelos;2000;5101;19,6;6
3101706;Almenara;2000;35385;39,56;99
3101805;Alpercata;2000;6966;172,27;6
3101904;Alpinópolis;2000;17031;0;18
3102001;Alterosa;2000;12976;38,53;11
3102050;Alto Caparaó;2000;4673;21,4;11
3153509;Alto Jequitibá;2000;8458;11,82;4
3102100;Alto Rio Doce;2000;13858;14,43;35
3102209;Alvarenga;2000;5212;0;6
3102308;Alvinópolis;2000;15588;25,66;18
3102407;Alvorada de Minas;2000;3527;0;4
3102506;Amparo da Serra;2000;5477;18,26;5
3102605;Andradas;2000;32968;112,23;43
3102803;Andrelândia;2000;12310;16,25;25
3102852;Angelândia;2000;7468;13,39;6
3102902;Antônio Carlos;2000;10870;0;9
3103009;Antônio Dias;2000;10044;19,91;11
3103108;Antônio Prado de Minas;2000;1794;55,74;5
3103207;Araçaí;2000;2145;46,62;6
3103306;Aracitaba;2000;2086;0;5
3103405;Araçuaí;2000;35713;42;46
3103504;Araguari;2000;101974;253,99;231
3103603;Arantina;2000;2906;34,41;5
3103702;Araponga;2000;7916;0;5
3103751;Araporã;2000;5309;244,87;16
3103801;Arapuá;2000;2744;0;7
3103900;Araújos;2000;6217;32,17;6
3104007;Araxá;2000;78997;121,52;193
3104106;Arceburgo;2000;8035;37,34;14
3104205;Arcos;2000;32687;52,01;41
3104304;Areado;2000;12228;65,42;15
3104403;Argirita;2000;3173;31,52;5
3104452;Aricanduva;2000;4255;0;3
3104502;Arinos;2000;17709;90,35;46
3104601;Astolfo Dutra;2000;11805;25,41;8
3104700;Ataléia;2000;16747;23,88;15
3104809;Augusto de Lima;2000;5159;77,53;5
3104908;Baependi;2000;17523;11,41;15
3105004;Baldim;2000;8155;12,26;9
3105103;Bambuí;2000;21697;4,61;22
3105202;Bandeira;2000;5318;0;5
3105301;Bandeira do Sul;2000;4899;20,41;6
3105400;Barão de Cocais;2000;23391;72,68;71
3105509;Barão do Monte Alto;2000;6232;16,05;6
3105608;Barbacena;2000;114126;65,72;509
3105707;Barra Longa;2000;7554;26,48;4
3105905;Barroso;2000;18359;27,23;30
3106002;Bela Vista de Minas;2000;9846;50,78;9
3106101;Belmiro Braga;2000;3427;58,36;8
3106200;Belo Horizonte;2000;2238526;1022,41;12732
3106309;Belo Oriente;2000;19516;87,11;33
